review,sentiment
ricki tiki tavi bitches,Negative
good like,Positive
evil morty mean president morty,Negative
want kill myself,Negative
rick oppressor glorifying racist sexist need kiss feet giving platform njust kidding love this show love everyone gives platform ricks exist reason,Positive
used enjoy rick morty then base came along ruined thanks fuckers,Negative
love narrator feminine asian voice,Positive
psychology bullshit,Negative
arya saying list names that okay,Positive
pissed myself laughing whore girl going aaah then tyrions right after,Negative
best part,Positive
taylor swift will want sheeran type cameo after seeing this,Positive
this ends instagram page with massive heading saying this credit will original creator,Positive
absolutely love this beautiful creation like seriously make more stuff like this,Positive
amazing cant stop watching think better than original song,Positive
like what song this,Positive
stop laughing,Positive
this awesome love clashed both song show together fave part every time ends with used tyrion,Positive
work famous french media called minutebuzz have more than million people facebook https facebook profile fref love your video would like post facebook page hero nwould cool with that course will mention your page post description nbest regards,Positive
best version song ever,Positive
sansa looks stupid when says your,Negative
omfg this amazing watched loop sansa your gets everytime,Positive
moaning parts best,Positive
watched this like times past minutes gonna from,Positive
haha must have lots time,Positive
crying this gold,Negative
thumbs effort nice,Positive
awesome awesome being reported congrats http nerdist game thrones taylor swift look what made,Positive
hahahaha this amazing great work,Positive
just seen this another channel carlos name that channel only came this channel news feed this really good,Positive
this must have taken much time make amazing work,Positive
this amazing hope goes viral good compiling those clips,Positive
this true started dying laughing,Positive
better than original,Positive
thumbs class gold plus subbed waiting gold treasure enjoyed check guild wars path fire will more info check this link https youtube watch ijseycmudhy about this amazing massively multiplayer online game would jump chance into soon possible pick,Positive
nthank mate nreally mean from heart nbeing biggest taylor really feel great awesome nthank again nand awesome,Positive
love tyrion during chorus,Positive
getting anxiety attack just thinking much effort took make this video,Negative
this perfect loved,Positive
this must taken ages well done,Positive
great cannot imagine much time took that admit great,Positive
hahaha with this,Positive
just thing that arya come phone right does belong compilation great,Positive
that brilliant first hilarious,Positive
remember when made hello well done,Positive
amaziing great effort,Positive
ahahhaha nice,Positive
haha hilarious,Positive
laughed hard this amazing,Positive
dead,Negative
likes,Positive
ready popularity,Positive
very well done hahahha,Positive
nice,Positive
this perfect,Positive
lmao,Positive
sansa your friggin annoying,Negative
that awesome,Positive
lmao,Positive
hahaha amazing,Positive
awesome,Positive
love this,Positive
brilliant,Positive
brilliant,Positive
brilliant,Positive
cool,Positive
show last night toronto amazing love much tell passionate about what does really inspiring,Positive
kinda hard struggeling with question about chronical pain proud girl deserves love world much more,Positive
couldn more proud gaga being able share those moments strong know when watch this film with,Positive
gaga inspiring victim bullying broken family gagas music artistry herself human being inspired interviewer rude seems like doesnt understand gagas personality artistry,Negative
fuuuck could watching this director whole life attractive,Positive
strong love sooo much take your time girl proud,Positive
love they both humble kind shes doing this film more attention publicity shes showing that even celebs break down human really admire shes sharing most vulnerable moments with fans people just interested work bravo chris stefani,Positive
love this woman looks really tired hope gets rest after that shows,Positive
this brilliant example knowledge enough good interviewer idea approach form basic questions about filmmaking personal experiences about gaga chris,Positive
love much super proud,Positive
netflix chill question made cringe hard leave radio dumb question,Negative
honest legend,Positive
proud everything been through been with since very beginning love more more every single monster life,Positive
love gaga just hate seeing feel like anything,Positive
hard struggle gaga strong handle your pain with such grace beauty everything,Positive
today tiff festival love,Positive
love,Positive
worst interviewer very rude someone tell that what name,Negative
starts love gaga,Positive
there quiet deafening sadness about that finger gaga have that downtime,Negative
love much gaga thank much talking about mental health mental illness cant wait this goddess philly tomorrow,Positive
real talented gotta love,Positive
chris cute,Positive
just love this woman,Positive
genuine sincere profound artist even talking about unique talent clearly beyond concerned about massive crap gossiping related music industry strong fragile love,Positive
what chronic pain does have,Negative
netflix chill question made feel like work done gays vane,Positive
love more each,Positive
into words much this woman means lady gaga makes very very very happy,Positive
fucking happy when said italian american girl because italian,Positive
really difficult woman inspired saved millions lives around world suffer stay strong queen with forever proud,Positive
they asked questions good questions asked about letter danny asked wanted something danny amazing,Positive
love much hurts seeing pain wish could take away only wish happiness because what brings,Positive
best singer world gaga strong women proud girl well soon,Positive
love gaga have shaped many ways amazing person,Positive
that really speeches powerful only intelligent woman very inspiring millions fans like myself does really well profession business stephanie would just like that have done fans proud what have given today have become legand making only have encouraged illness have also inspired legacy within those people feel better about themselves they really want love steph keep doing what doing will manchester area october last thing before that speech from danny heart warming really make emotional really glad have shown family positivity points strong also thank telling that will giving career break deserve good luck break soon love xoxo,Positive
anyone feel dizzy with background,Negative
that last answer smart queen,Positive
just lovely wonderful truly genuine adore wait watch,Positive
dear gaga thank your honesty,Positive
love,Positive
this interviewer sucks,Negative
love gaga,Positive
lady gaga looks like kesha,Positive
love gagafivefoottwo love lady gaga,Positive
what talented woman nthis woman slay genre music anything thrown legend,Positive
fucking real fucking genuine just keep asking questions that even same frequency intelligence,Positive
does actually have full blown lupus know several years interview with larry king stated borderline lupus this chronic pain from surgery both feel,Negative
queen love,Positive
people really know gaga situations like this where signs through most when people down their really truly amazing have stage doing something that able fully creative into goddess that lady gaga,Positive
while this documentary will show normal part much love wish badass gaga least more,Positive
kinda hoping wear flats this appearance,Positive
there much hate bitchy comments this comment section disgusting,Negative
think healthy look outside validation constantly tweets about awards,Positive
madonna truth dare been done before better,Positive
miss days when popular,Positive
gaga seems becoming less less comfortable during interviews think will soon withdraw completely from addressing press,Positive
always count bottom cringey sexualized question lmao bottom this totally acceptable,Positive
what load crap,Negative
some disorder every week,Negative
this film such unorganized mess,Negative
madonna already this narcissistic self documentary years gaga face tight puffed heading towards freak looking territory continues this shit,Negative
sooo annoying,Negative
wasn aware that they remade madonna truth dare with much less interesting lead character #boring,Positive
fake bitch give nobody cares stole kesha look madonna entire career,Negative
this looks like movie version that episode tigre,Positive
this would more believable they were arabs mexicans because there literally allowed enjoy music,Positive
someone tell what thanksgiving date celebrate that,Positive
derivative movies music cartoons films everyone borrows from everyone result endeavor however results that project being unique unless blatantly ripped another work with word word dialogue npixar story similar novel brave little toaster life based movie seven samurai frozen based danish book snow queen nthis movie being similar book life would just continuation tradition although this seems borrow little heavily visual wise,Positive
book life looks amazing,Positive
they fucking mexican chancla joke there sold,Positive
boycott this movie book life knock,Negative
lowkey like book life gonna,Positive
really want this movie well have feeling might same route good dinosaur cars,Positive
hopefully this movie better than trailer hispanic pixar been putting hits misses,Positive
this movie will never play country illegal movie,Positive
this promises stunning work visual arts,Positive
when think people when they shot through heart bullet pistol when they ravaged incurable disease when they drink soup made from poisonous mushroom when they forgotten hiriluk from piece nthat what came mind when watching this trailer,Negative
nice movie about something other than muertos when doing movie about mexican culture,Positive
love this wait,Positive
reminds spirited away,Positive
know this worst place this comment weird that instead masturebating hump pillows there others just,Negative
that almost seemed like beetlejuice reference,Positive
this pretty,Positive
what original movie that totally unique carbon copy movie whose name rhymes with book strife,Positive
know should bother seeing this after watching pretty sure already heard best joke movie,Positive
just acknowledge chuncla swinging that happened authentic flip flop,Negative
this would probably movie that would actually like from pick star,Positive
this such cute movie,Positive
please tell this disneys attempt have political voice border control issue country,Positive
culture play with sympathy profit hole,Positive
hope this movie does deported,Positive
book life nbring disney brand racism,Negative
this distract from fact about shell phone,Negative
book life didn live expectations animation style wasn favorite there were some scenes that didn well with hope coco different animation looks worlds beyond least like idea that follows young boys adventure order follow dreams without romance plot,Positive
child acting seems pretty this movie,Positive
promise book life,Positive
sooooooooo damn exited this,Negative
burton spirited away vibes,Positive
beaner spirited away,Positive
very interesting,Positive
disney promoting some diversity lately,Positive
disney here exploit another social dynamic nsigh,Positive
burton corpse bride anyone,Negative
looks dumb,Negative
trailer looks wonderful,Positive
something worth watching,Positive
looks good book life,Positive
gonna best movie guaranteed,Positive
looks kinda cool,Positive
just hate every movie based mexico about same things uses typical stereotypes,Negative
please tell grandma doesn,Positive
enjoy trailer,Positive
stop ganging,Negative
that great idea,Positive
goddamn those infamous football scenes,Negative
could this movie good,Positive
hipster fucks,Negative
seems like expert dave,Positive
what with spam here,Negative
finally watched room just famous clips excited this movie,Positive
this simultaneously going funniest most affecting movies year,Positive
between this darkest hour really know deserves oscar more james franco gary oldman,Negative
talk about full circle njames dean james franco played james dean tommy wiseau worships james dean tommy wiseau quotes rebel without cause room james franco plays tommy wiseau reciting exact same line from rebel without cause inception,Positive
dislikes from bunch chickens,Negative
this legitimately looks like good movie cannot wait,Positive
this movie sold definitely going watch,Positive
hahaha what story franco,Positive
chris hitting basketball denny hand brick alleyway where chocolate eater gets pushed into trash cans mark suppose that hyperbolic time roof,Positive
honestly well kind skeptical disaster artist probably favourite book thus however find seth rogen james franco lack lister actors with exception freaks geeks franco inflections mannerism from this admittedly short preview times very wiseau like while others seem removed from tommy putting however usually skeptical regarding things very fond still excited despite concerns will more excited best iends possible small part tommy plays this movie,Positive
this will disaster,Negative
having with belly button knows where vagina right just help feel that doug walker inspired that line,Positive
great trailer loved cast movie anyway your life,Positive
this film going bring tommy wiseau full circle with vision being famous recognized craft fails miserably movie movie becomes cult phenomenon cult film inspires real hollywood film actor portraying tommy wins oscar role memorable performance ineptitude therefore recognized craft,Positive
what just watch original,Positive
tommy might great actor great spirit seems like cool,Positive
jesus christ franco laugh perfectly,Positive
franco impression wiseau actually better than thought,Positive
cannot waaaaaaaaaaaaaaaaiiiiiiiiiiiiiiiiiiiit nthe tests came back have impatience,Negative
jesus loves much that love overwhelming like your only person existence that loves would love have special relationship with have questions about here also have video called loves message your interested bless hope have wonderful rest your year,Positive
james franco nailed tommy character freaking want this movie,Negative
think mini heart attack,Negative
keep your stupid comments your pockets,Negative
first trailer this almost looked like they were making whole thing tommy wiseau this trailer really shows that more tribute tommy wiseau anything james franco does justice really funny,Positive
james franco born play tommy wiseau,Positive
speechless dave performance tommy wiseau really making feel nthat scene trailer where they movie theater everybody laughing movie like comedy even though supposed serious drama hits right feels,Positive
already tell that this gonna better than citizen kane godfather shawshank redemption combined,Positive
hahaha what this,Positive
cheep cheep cheep love room mark,Positive
didnt think would watching trailer disaster artist,Negative
favorite customer,Positive
this looks awesome james nailed wait,Positive
actually amazing rooting tommy,Positive
this gonna hilarious,Positive
retract statement about james playing tommy sold,Positive
someone please tell song name,Positive
love concept honestly james franco doesn good tommy impression granted real fucked voice only close this sounds nothing like also seth rogen hasn been funny since pineapple express still good guess still have just watch room full tommy wiseau experience haha nedit spelling,Positive
nobody respect vision,Positive
yeah brendan fraser cameo would have been nice nplease nothing,Positive
please daenerys house targaryen first name unburnt queen andals rhoynar first queen meereen khaleesi great grass protector realm lady regnant seven kingdoms breaker chains mother dragons haven before,Positive
want punisher,Negative
instead universe with horror want universe with modern horror icons like jason michael myers freddy that cool,Negative
forgot about that detail about trailer still hilarious glad didn this film nthanks another great video screen junkies,Positive
they gonna ruin childhood with jumanji reboot they,Negative
revised monsters universe would been great idea industry more bankers than artists today audience large patience heart sincere horror,Positive
please sayjar best character star wars,Positive
once stole pornographic book braile used dirty parts,Negative
what happen good directors writers,Positive
start honest trailer with unhonest,Positive
when guys honest trailers better call bully with long hair kylo,Positive
this movie horrible know because fell asleep about mins woke something about jekyl hyde husband still same movie,Negative
power suck what there,Negative
sure release trailer without music sound effects accidental they were pretty desperate promote this turd,Positive
please honest trailer disney chihuahah,Positive
going honest trailer flatliners that remake coming,Positive
cruise stupid face,Negative
please show mummy,Positive
mummy used sell terror sells,Negative
bubba real mummy movie just doing that just drop,Negative
sell propane propane accessories like agree,Positive
emoji movie please,Positive
honest trailer original,Positive
want honest trailer treasure planet always giving crap loved that movie,Positive
please tombe bouree pronounced,Positive
please subscribe float float,Positive
dude hoping would something funny about whole desert caving beggining then sand mounds when bottom,Positive
lego batman movie before lego ninjago movie hits theaters promise subscribe,Positive
foightin round world love reference,Positive
please valerian city thousand planets,Positive
love romin chill with crunchyroll,Positive
proud have beeewwwwwwwwwwbbbbbsssssss,Positive
something giving,Positive
where lebowski this aggression will stand,Negative
future thanks internet memes,Positive
please stranger things trailer please,Positive
anyone other than actually like mummy,Positive
please,Positive
please nyaaa baaa baaaa dooooooo,Positive
sixth sense please,Positive
please wonder woman,Positive
fury bred pitt,Negative
missus horror original arrrrggghhh,Negative
please eyyy thats pretty good,Positive
something sexy,Positive
please avengers infinity,Positive
didnt lose anything,Positive
please hablo espa,Positive
tell this light hearted comedy horror film being lulled into false sense security about waiting there something wrong with down sizing,Negative
this strange love,Positive
just waiting jimmy kimmel comment this bring feud live again that something,Negative
yeah what about insects animals stuff,Positive
matt damon talking like owen wilson beginning,Positive
where scene where they killed ants,Negative
yeah could this ever wrong,Negative
great alexander payne stepping usual element adding these scientific themes totally sticking same time,Positive
damon checking size junk sighing with relief also love ntalking heads song,Positive
controversial right,Negative
what ridiculous concept this wouldn change thing there already enough food planet feed everyone several times over because greedy people corrupt systems have place many people must starve making everyone smaller wouldn change anything still have those greedy people will hoard most planet resources themselves,Negative
this looks like themes oscar bait movie ever with exception that awful will smith movie collateral beauty,Positive
interesting scary what people decided kill downsizers took over world themselves,Negative
interesting though imagine what insects would like true monsters,Positive
what amazing movie idea wait,Positive
dear trailer thank showing entire fucking movie,Positive
texas underground artist trying better myself family streets help heard share follow repost thanks https soundcloud legit nhttp reverbnation open graph artist,Positive
this video tribute lives lost september brave women died illness years after participating rescue recovery effort nhttps youtu n#don forget,Negative
fuuuuuck that nimagine spiders worms this insect bigger then nmillions them nand lets talk about giant killer cats that will with once that small,Negative
that really stupid movies ever when small people kill oxygen with weight gravity highly deadly oxygen,Negative
someone must have been high shit think this,Negative
would have been great black mirror episode,Positive
hope good,Positive
imagine trying drink water have drop water stuck your face suffocating trying drink water tiny plastic bottle stuck water tension come bottle,Negative
this something elites would masses whilst they remained normal size earths population could controlled them single place easily disposed needed,Positive
this looks like something charlie kaufman would write,Positive
good luck when earthquake hits,Positive
irreversible fuck that else thinks this creepy,Negative
okay basically care about this movie heard talking heads fucking watch whole trailer uggggh they good,Positive
getting partial black mirror vibes looks lighthearted enough that route,Positive
games until some drunk fucker decided play stomp city,Negative
this movie looks like shit covered hemorrhoids after anal,Negative
this kind movie that will have commercial saying feel good movie year,Positive
never been amount people live here that problem live that problem,Negative
very nervous about being squished,Negative
tiny woman tiny glass window nervous nope cause crazy like,Negative
looks cool would drastically lower themselves food chain like that even cockroaches would stupid,Negative
this looks interesting actually really looking forward watching,Positive
congratulations downsized instantly suffocation smaller atoms oxygen smaller good luck having your lungs absorb that precious precious need breathe,Positive
only talking heads music make stupid fucken movie seem,Negative
this origin attack titan,Negative
looks that feel good unique film vibe such pleasantville,Positive
what conflict,Negative
this actually looks really intriguing creative idea,Positive
spiders fuck that,Negative
excited,Positive
this looks freaking amazing,Positive
best picture contender,Positive
honey shrunk boring dialog actors,Negative
anyone else think horror film first,Negative
hahahahahahahaha really hope none tech billionaires excited about this,Positive
fascinating wouldn because moment someone step there would protect yourself against that,Positive
this fact right like nyou clicked read more,Positive
that sonic music gave teen panic attack,Negative
sometimes feel like relatives purpose just hear terrible language skill fuck,Negative
when french teacher question french when been only learning french year although have french class that much only know basic french words numbers phrases fuck sentence,Negative
does always trend videos aren funny,Positive
korean american here npeople damn speak both languages fluently suck both languages,Negative
have social anxiety would called french class hard enough time speaking english class,Negative
drank mountain dick glows like stick uranium,Negative
into french conversation once heres went nperson bonjour appelle chris appelle comment walks away internally screaming,Negative
seem speak well video,Positive
love some korean american accent,Positive
just respond english understand them they understand just speaking different languages what problem,Negative
help feel really because really wanna able have full conversations with grandparents dedicate enough time brush viet,Positive
when everyone moms family speaks vietnamese have pretend understand what elders saying just silently while smiling,Positive
texas underground artist trying better myself family streets help heard share follow repost thanks https soundcloud legit nhttp reverbnation open graph artist,Positive
only viner with talent glad doing great things here youtube,Positive
this retarded script funny,Negative
this literally exactly what like thanks making relate,Positive
past traumas sonic hedgehog water levels coming back haunt,Negative
hahaha this worth sometimes trending videos work after,Positive
like said welcome,Positive
canadian same shit with french class fucking know,Negative
korea when gonna shoot today means gonna everyone meals drink,Negative
trending neat,Positive
awesome,Positive
nani fuck,Negative
ugly jesus,Negative
whenever german friends started laughing while speaking each other german would awkwardly laugh along even though idea what funny then would just look each other awkwardly,Positive
ugly fuck ching cheng chong,Negative
this chink even funny,Positive
were forced watch this rubbish quite closely more than once admire your strength endure thanx cinemasins absolutely guilty pleasures,Positive
only movie that worse that this poop,Negative
ridley scott basicly killing creation with prometheus trilogy,Negative
good movie prequel still waiting proper aliens sequel,Positive
fuck would they kill shaw better engineers this movie pissed more then wreck ralph,Negative
know movie number problems even film major deny love this movie first series since aliens that actually enjoyed,Positive
this reconned away very easily just want where scott going with this guess like someone watching drunk friend trying something want pulls this fails badly laugh,Positive
what still fuck,Negative
everything wrong with pirates caribbean deadmen tell tales minutes less,Negative
cinemasins scene when crew walking through wheat crew members appears eating wheat mind crew member conducted kind analysis before hand even determine wheat edible them eating know this work fiction really another problem with this film trying event horizon recall crew that ship were following beacon signal knowing understanding origin even made rescue team little have idea evil they about face event horizon over again,Positive
also think that ship meant that purpose wipe planet start again side effect that black creates xenomorphs something worms prometheus,Positive
that woman captain super ugly manboy lesbian twat,Negative
engineers made black liquid destroy mankind earth shows prometheus,Negative
also forgot fact that robot that tried replace robot couldn heal robot could that should been giveaway crew that wasn their robot crazy they found planet,Negative
sigh guess stuck with movie counter effing yellow,Negative
just sitting here xenos died again live movie killed,Negative
even though like whole movie watching this feel like force myself since watched others already,Positive
please pirates caribian dead tell tales,Negative
everything wrong with transformers last knight,Negative
lotta hate this movie comments liked decent amount also haven seen originals since litto,Negative
wanted this movie good badly questions from prometheus left incompletely answered plus more questions think ridley scott thesis that humans dumb live,Negative
everything wrong with guardians galaxy,Negative
please evangelion,Positive
this movie boring,Negative
everything wrong with movie please,Negative
only bothered yellow font movie counter,Negative
please cinemason,Positive
missed wait trucks fall downward after impaling xenomorph sure ship equiped with gravity generators there gravity beyond hull space this achieved shouldn just kind float away like gravityoh georgey they float,Positive
everything wrong with mask,Negative
just reviewing this those small minded fake fearing pricks,Negative
they should everything wrong with original then,Negative
basically they sent only dumbest motherfuckers colonize planet,Negative
screw have ears that clean clean them every single part shower shave brush teeeeth morning routine,Positive
animated movie sins captain underpants boss baby week,Negative
want this movie myself when damn coming,Negative
haven watched love hope they mention fact hears gunfire inside whats essentially cave system,Positive
this video really terrible,Negative
fuck this movie stupid fucking christian overtones,Negative
didn pass them right because usually need homework passing grade right teach wise,Positive
please king arthur legend sword,Positive
please everything wrong with death note,Negative
everything wrong with meters down,Negative
this proper shit movie really angry shop keeper would have made more intelligent decisions than this idiotic astronauts also have question those while aliens they have eyes lolanother mentioned they clearly while exploring planet that their guns have little impact killing aliens they continue exact useless rest movie,Negative
bloopers favorite part video hilarious,Positive
moral story bring religion with going kill everyone also worst ever,Negative
space fake nasa lies earth flat research,Negative
good movie special effects when consider cost time expense involved mention cast crew employment created many people easy criticise however understand your humour give some credit film makers after science fiction limited budget give thumbs,Positive
hard watch video most points ridiculous guys voice speaking annoying fuck,Negative
david created xenomorphs dingdingdingdingding,Positive
sausage party,Positive
everything wrong with whiplash please,Negative
like lucius,Positive
please,Positive
fucking meters down please,Positive
nice,Positive
good really good jaja,Positive
this movie such garbage seen rape porn that more gentle than what century doing alien franchise,Negative
like these used like minutes then they discovered,Positive
neverything wrong with,Negative
addition things pointed thing that really bugged this movie preachy your face faith anti science theme case anyone dumb crew they went point stating explicitly front which sinned fine veggie tales annoying alien,Negative
they make another taken movie they should call taken granted turns long lost name grant first taken movies were dreams actually drunken jerk knows kung whatever,Positive
trying think good liam neeson joke they taken,Positive
this just that movie stop instead plane train well played then,Positive
create video game music please listen track thanks,Positive
that good trailer movie full good actors,Positive
liam neesom looks frail that thumbnail damn shame,Negative
ever mess with liam neeson will fook,Negative
like that movie where plane train,Positive
stop train,Negative
shallows what terrible movie have feeling this will,Negative
just kill when find,Negative
adore vera farmiga,Positive
negative comment,Negative
stop,Negative
looks great just love movies like these,Positive
real cliffhanger here will liam neesons fight wolves with bare hands this,Negative
someone explain that that copy none stop sequel none stop,Positive
know will find will kill lorraine warren,Negative
about bloody time been waiting this trailer since movie announced nearly year,Negative
another film about liam neeson having problems with public transport should learn drive,Negative
kills again,Negative
movie alarm goes wakes,Negative
this could either really good really,Positive
love jinn sauce head like getting action movies,Positive
liam neeson kills people train movie,Negative
liam neeson always accept,Positive
surprised that nobody taken this trailer,Positive
still excited long liam nesson movie even this movie looks like stop,Positive
from director shallows stop nsold,Negative
liam neeson always gets luck every time takes public transport,Positive
trailer commuter teaser teaser trailer commuter,Negative
moment thought that will find will kill,Negative
just dont take money movie over happy ending,Positive
looks like from stop cleaned couple kids then himself some similar mess liam neeson just catch break,Negative
maybe this best trailer this year hope movie good,Positive
here comes taken jokes xddd,Positive
looks great,Positive
this last movie will definitely watch,Positive
yeah watch anything that liam neeson,Positive
almost thought than this stop sequel,Negative
this pretty much just another source code movie,Positive
stop train edition,Negative
excellent trailer,Positive
stop,Negative
stop,Negative
stop train edition,Negative
norma isnt dead,Positive
sins,Negative
hasn done this movie already then called stop,Negative
stop part,Negative
kind looks like movie source code,Positive
take second appreciate just awesome rooster teeth animation outro brilliant,Positive
this weird understandable people thanks,Positive
love every time they talk about this podcast,Positive
these used favorite back,Positive
kayaked passed booie where supposed kayak thought trying kill,Negative
plot twist this most interesting word,Positive
brandon really good story telling,Positive
almost pissed myself laughing kayak scene brilliant time watching well worth,Positive
found this site that actually pays just playing games much money same time here wanna nhttp unnx clickbank,Positive
subscribe channel username young savage kingdom,Negative
want your very cinematic film based well https fiverr thetrooper will create your very cinematic short with your character main character epic fight survive,Positive
that guys father like most interesting world sean connery,Positive
brandon stories awkward they good,Positive
most interesting world father,Positive
thought this channel died guess,Negative
most interesting world,Positive
most interesting father world,Positive
father looks like ghul,Positive
believe video kittens outside over million views check that subscribe button xoxo sarina nhttps youtu dcjk ajckg,Positive
wrong with today,Negative
watch latest best movies online just nmoviesgate,Positive
want free google play paypal money click this link https youtu mvyvaj,Positive
mens black leather analog quartz stainless steel waterproof wrist only limited time only left,Negative
still stop laughing because father stil holding underwater,Positive
stereograms wealth nmatrix wealth nhttps etsy shop magicworldmira nstereograms order npersonalized stereograms,Positive
love brandon father looks like older equis,Positive
most interesting world father,Positive
great animation great story good video,Positive
visit channel want access straight path nvisit this channel listen holy quran last book from humanity nvisit channel want reach happiness comfort this life hereafter,Positive
good brandon trending attempted murder,Negative
happy that trending never them nice creator that deserves,Positive
notice that drinking straight tanqueray,Positive
loved this story podcast choice make brandons father look like most interesting world great good stuff guys,Positive
hello welcome chnnl,Positive
nice drowing power nsome animation click here nhttps,Positive
coin equal more than nnow this fast sign free will have free also nyou just should follow this link below then sign verify your account wait millionaire nhttps wcex kiwmuo your turn nyou lose thing just earn money nsure hack link global company,Positive
awesome this creative animated video also graphic designer some document below hare https,Positive
power sweet animated video nhere animated design nhttps,Positive
rooster teeth animated adventures amazing video made https,Positive
this cutting video very good like this kind duck video below link this type video nhttps https hexjjc,Positive
videos very nice nhttps,Positive
drowning power very nice nhere same animated adventures videos https miqk,Positive
drowning power great like nhere also some animated https anpfkx,Positive
drowning power this video relly great nhere also some animation https,Positive
course father look chest hairs dead give away,Negative
original oneplus smartphone snapdragon octa core dual camera fingerprint android pqvmjo,Positive
dislikes wierd,Negative
lmaoo stay thursty friends,Positive
savage applebees,Negative
this fantastic,Positive
this trending awful,Negative
rooster teeth great nsee more https,Positive
small youtuber here would love some constructive feedback,Positive
taylor swift ready official music video nhttps youtube watch hdlyhxdjn,Positive
number trending page well done guys,Positive
brandon less interesting person world,Positive
know that pennywise such awesome band,Positive
only real plot hole that bothered hell bill melt that boat beginning,Negative
really fantastic with this especially like part about friends would judge twisty slide that good stuff word painting nice,Positive
just admit pennywise just admit that like being clown would that monster friend,Positive
sadly they didn really explain beep beep richie movie actually what losers club said stop when mouth much which happened,Negative
believe turned after others defensive mechanism first time something hunting down fears that they might longer fear then want need outside intervention,Negative
physical trauma weakness mine,Negative
damn lady look this,Negative
think manipulates people into killing because murderer loose freaky might feed fear just fear,Negative
more comedy then horror movie honestly,Positive
when patreon credits came whoa,Positive
turtle mortal enemies,Negative
this video ripe clown nose wearing potential wasted,Negative
what hell that vietnam wall memorial ending nwtf that,Negative
gave jenny thumbs massive list credits amazing your humor notch,Positive
love jenny,Positive
penny wise pound foolish needs know this tripe learn read real book like flesh,Positive
funny like clown amuse they shoulda gotten pesci play pennywise they coulda beat some death with shinebox,Positive
this favorite jenny video wide margin guess call trademark almost bored tone made describing killer clown funniest thing likely watch today already funny peak,Positive
from this movie learned that pennywise actual clown that died previous derry incident probably just finds this form more universally fear inducing than other forms uses expect when lets people away because wants fear simmer nalso defeating friendship like most life problems nhttps pics doubt youre right cant cant nstephen king friendship magic,Negative
spider thats interesting notion,Positive
penny wise says beep beep richie reference book kids used beep beep indicator richie stop running mouth yeah,Positive
sorry that great video camera wasn right,Positive
jennys hair looks like shes that right before started shooting where took glasses shook down hair slowmo then couldnt glasses back,Positive
always figured that more fear experiences more fear flavor builds inside them like adrenaline makes animals taste gamey,Negative
more stars wars erotica fiction,Negative
well feel like total idiot liking movie thanks jenny,Positive
with more less right point where kids locate house decide wander tackle supernatural killer monster with friendship stern disapproval guess they thought they prove real having tear them shreds found tough know after that point book book they plan their first assault with weapons even,Negative
said effort richie know that went origin time that part novel shows featuring comedians variety shows were very poular comedian jokes they would beep horn similar drumroll that associate with jokes modern stand comedy routines beep beep richie part basically saying richie joke over,Positive
love your analyses damnit ruin with your logic,Negative
jenny glad made video about this,Positive
think pennywise actor never seen heard clowns before accepting role thanks part tobacco cases that banned phillip morris from promoting clowns children truth about clowns campaign,Positive
never trust with large shoes size walked,Negative
this curious enjoy movie,Positive
soooooo like,Positive
biggest problem with most horror movies illogically murderers behave would with your victims that implies there audience watching unless monsters aware moviegoers pennywise food actually approval audience,Negative
deadpan deeply perceptive ironic hilarious very clever sure deserve jenny meant good,Positive
this movie great though,Positive
know nothing about find delivery funny that youtube subscriptions have,Positive
wish first time that hadn read godawful youtube comments,Positive
honestly hadn read book only seen movie wouldn give shit about kids were what happened them like movie hours long barely learned anything about main characters,Positive
pennywise likes play with food there plot holes covered,Positive
penny every beep beep from book comment here penny wise,Positive
what went across monkey bars whilst upside down like gravity defying like,Positive
like crocodile pennywise ambush predator,Positive
very pretty glasses,Positive
pretty,Positive
just admit that like being clown haha imagine sitting there with clown face when they that,Positive
goodness attractive,Positive
glad when went over screen junkies just hopes make some money your work these best videos millennial falcon great interested hearing what have more than topic,Positive
dance wants leave friends behind because friends dance they dance then they friends mine safety dances comment section,Positive
glad video about film opening enjoyed much more than expected wanted talk about more talking about makes feel like conversation with good friend nafter thinking about theorize that pennywise either unable hurt kill child unless they afraid maybe they just tastier when built fear them like fear marinade longer they soak more satisfying because mean attacked georgie problem maybe like ehhh needs more fear oooorrrr just total egomaniac like most villains decides that prey must acknowledge frightening boost self esteem maybe wasn hugged enough alien monster clownie,Negative
know nothing beep beep richie what they richie shut feeds fear likes scared children says they taste better scared wants scare them them made mistake letting them live longer thaught could scare them more that they would taste better,Negative
never cared pennywise band,Negative
always felt that deadites from evil dead franchise feed fear well that them kind sometimes killing people necessary creating that fear watch enough evil dead stuff start realize that they take relatively opportunities actually kill noff topic whatever drunk,Negative
mostly true first wasn trying catch trying scare because more afraid they better they taste that also takes time since trying build scared they funny video though,Positive
braver than going watch killer clown movie,Negative
jenny beautiful clever,Positive
adore your sarcasm,Positive
pennywise likes floating,Positive
yummy,Positive
like this,Positive
gorgeous,Positive
stop trying make twisty slides happen pennywise,Negative
great stuff usual,Positive
jenny pennywise occasionally porg foolish,Negative
that funny didn laugh pretty sure this funny,Positive
once completely agree with this lady pennywise scary very disappointing,Negative
sausagefest that your patreon account always best piece comedy your videos,Positive
long time watcher first time commenter your awesome that allz,Positive
sarcasm most duration this video dislike from just suck already hate much rather than beating around bush like some,Negative
